id,url,zh_tw,en,translate,note
tags?c7=161,https://javdb521.com/tags?c7=161,16小時以上作品,Over 16 hours,16小时以上作品,
uncensored?c2=18,https://javdb521.com/tags/uncensored?c2=18,1v1性交,Hardcore Fuck,1v1性交,
uncensored?c5=133,https://javdb521.com/tags/uncensored?c5=133,2018暢銷Top100,Fiscal 2018 selling top 100,2018暢銷Top100,
tags?c7=227,https://javdb521.com/tags?c7=227,3D,3D,3D,
uncensored?c2=30,https://javdb521.com/tags/uncensored?c2=30,3P,3P,3P,
western?c2=20,https://javdb521.com/tags/western?c2=20,3P,Threesome,3P,
tags?c7=347,https://javdb521.com/tags?c7=347,4K,4K,4K,
western?c2=34,https://javdb521.com/tags/western?c2=34,4P,Foursome,4P,
tags?c7=10,https://javdb521.com/tags?c7=10,4小時以上作品,4HR+,4小时以上作品,
tags?c5=25,https://javdb521.com/tags?c5=25,69,69,69,
uncensored?c2=135,https://javdb521.com/tags/uncensored?c2=135,69,69,69,
western?c2=12,https://javdb521.com/tags/western?c2=12,69,69,69,
tags?c3=297,https://javdb521.com/tags?c3=297,COSPLAY服飾,Cosplay Costumes,Cosplay,
uncensored?c5=131,https://javdb521.com/tags/uncensored?c5=131,DVD已售罄,DVD is being sold out!,DVD已售罄,
tags?c7=335,https://javdb521.com/tags?c7=335,HDTV,HD DVD,HDTV,
uncensored?c3=86,https://javdb521.com/tags/uncensored?c3=86,M女,M woman,M女,
uncensored?c2=22,https://javdb521.com/tags/uncensored?c2=22,M字開腿,M-leg,M字開腿,
tags?c1=63,https://javdb521.com/tags?c1=63,M男,Submissive Men,M男,
uncensored?c3=61,https://javdb521.com/tags/uncensored?c3=61,M男,Strap-M man Trombone,M男,
tags?c3=114,https://javdb521.com/tags?c3=114,OL,OL,OL,
uncensored?c4=98,https://javdb521.com/tags/uncensored?c4=98,OL,OL,OL,
tags?c7=311,https://javdb521.com/tags?c7=311,R-15,R-15,R-15,
tags?c6=60,https://javdb521.com/tags?c6=60,SM,SM,SM,
western?c0=119,https://javdb521.com/tags/western?c0=119,SM,SM,SM,
tags?c7=212,https://javdb521.com/tags?c7=212,VR,VR,VR,
tags?c5=374,https://javdb521.com/tags?c5=374,不穿內褲,No underwear,不穿内裤,
tags?c5=375,https://javdb521.com/tags?c5=375,不穿胸罩,No bra,不穿胸罩,
tags?c5=18,https://javdb521.com/tags?c5=18,中出,Creampie,中出,
uncensored?c2=9,https://javdb521.com/tags/uncensored?c2=9,中出,Creampie,中出,
tags?c7=148,https://javdb521.com/tags?c7=148,主觀視角,Subjectivity,主观视角,
tags?c5=14,https://javdb521.com/tags?c5=14,乳交,Titty Fuck,乳交,
uncensored?c2=43,https://javdb521.com/tags/uncensored?c2=43,乳交,Boobsjob,乳交,
western?c2=18,https://javdb521.com/tags/western?c2=18,乳交,Titty Fuck,乳交,
tags?c6=71,https://javdb521.com/tags?c6=71,乳液,Lotion,乳汁,
uncensored?c2=15,https://javdb521.com/tags/uncensored?c2=15,乳液,Complementary massage,乳汁,
tags?c6=353,https://javdb521.com/tags?c6=353,乳釘、穿孔、乳環,"Nipple, Piercing, Nipple Ring",乳钉、乳环,
tags?c1=54,https://javdb521.com/tags?c1=54,亂倫,Insult,乱伦,
uncensored?c2=56,https://javdb521.com/tags/uncensored?c2=56,亂倫,Incest,乱伦,
tags?c5=342,https://javdb521.com/tags?c5=342,二穴同入,Fit two holes,二穴同时插入,
uncensored?c2=10,https://javdb521.com/tags/uncensored?c2=10,二穴同插,Double Penetration,二穴同插,
tags?c1=316,https://javdb521.com/tags?c1=316,亞洲,Asian,亚洲,
western?c0=75,https://javdb521.com/tags/western?c0=75,亞洲人,Asian,亞洲人,
tags?c2=282,https://javdb521.com/tags?c2=282,亞洲女演員,Other Asian,亚洲女演员,
uncensored?c3=87,https://javdb521.com/tags/uncensored?c3=87,人妻,Married woman,人妻,
uncensored?c5=117,https://javdb521.com/tags/uncensored?c5=117,人氣標題,Popular title,人氣標題,
western?c0=178,https://javdb521.com/tags/western?c0=178,人體彩繪,Body Painting,人體彩繪,
tags?c7=26,https://javdb521.com/tags?c7=26,介紹影片,Image Video,介绍影片,
tags?c1=86,https://javdb521.com/tags?c1=86,企畫,Planning,企画,
tags?c2=233,https://javdb521.com/tags?c2=233,伴侶,Companion,伴侣,
western?c0=284,https://javdb521.com/tags/western?c0=284,俄國人,Russian,俄國人,
western?c0=197,https://javdb521.com/tags/western?c0=197,保姆,Babysitter,保姆,
western?c1=103,https://javdb521.com/tags/western?c1=103,修剪的陰毛,Trimmed Pussy,修剪的陰毛,
tags?c3=270,https://javdb521.com/tags?c3=270,修女,Nun,修女,
western?c2=10,https://javdb521.com/tags/western?c2=10,俯臥後入式,Prone Bone,俯臥後入式,
tags?c1=130,https://javdb521.com/tags?c1=130,倒追,Reserved Role,倒追,
tags?c6=372,https://javdb521.com/tags?c6=372,假陽具,Dildo,假陽具,
uncensored?c2=63,https://javdb521.com/tags/uncensored?c2=63,假陽具,Dildo,假陽具,
western?c4=112,https://javdb521.com/tags/western?c4=112,停車場,Parking Lot,停車場,
western?c2=16,https://javdb521.com/tags/western?c2=16,側躺後入,Spooning,側躺後入,
tags?c2=32,https://javdb521.com/tags?c2=32,偶像,Idol,偶像,
tags?c1=145,https://javdb521.com/tags?c1=145,偷窺,Voyeur,偷窥,
tags?c1=293,https://javdb521.com/tags?c1=293,偷窺,Peeping,偷窥,
uncensored?c2=138,https://javdb521.com/tags/uncensored?c2=138,偷窺,Voyeurism,偷窥,
western?c2=49,https://javdb521.com/tags/western?c2=49,偷窺,Voyeur,偷窥,
tags?c6=176,https://javdb521.com/tags?c6=176,催眠,Hypnosis,催眠,
western?c2=79,https://javdb521.com/tags/western?c2=79,傳教剪刀式,Splitter,傳教剪刀式,
western?c2=9,https://javdb521.com/tags/western?c2=9,傳教士,Missionary,傳教士,
tags?c3=216,https://javdb521.com/tags?c3=216,兔女郎,Bunny Girl,兔女郎,
western?c2=17,https://javdb521.com/tags/western?c2=17,內射,Creampie,內射,
tags?c3=49,https://javdb521.com/tags?c3=49,內衣,Lingerie,内衣,
western?c3=164,https://javdb521.com/tags/western?c3=164,內褲,Briefs,內褲,
tags?c1=218,https://javdb521.com/tags?c1=218,全裸,Nude,全裸,
tags?c5=354,https://javdb521.com/tags?c5=354,兩女一男,FFM,兩女一男,
western?c2=35,https://javdb521.com/tags/western?c2=35,兩女一男,FFM,兩女一男,
tags?c5=356,https://javdb521.com/tags?c5=356,兩男一女,MMF,兩男一女,
western?c2=27,https://javdb521.com/tags/western?c2=27,兩男一女,MMF,兩男一女,
tags?c5=355,https://javdb521.com/tags?c5=355,兩男兩女,MMFF,兩男兩女,
western?c2=32,https://javdb521.com/tags/western?c2=32,兩男兩女,MMFF,兩男兩女,
tags?c2=264,https://javdb521.com/tags?c2=264,公主,Princess,公主,
uncensored?c2=54,https://javdb521.com/tags/uncensored?c2=54,公共場所,In public places ...,公共場所,
western?c4=177,https://javdb521.com/tags/western?c4=177,公園,Park,公園,
tags?c7=381,https://javdb521.com/tags?c7=381,共演,Co-act,共演,
uncensored?c2=141,https://javdb521.com/tags/uncensored?c2=141,其他,Otherwise,其他,
western?c6=170,https://javdb521.com/tags/western?c6=170,其他,Other,其他,
tags?c2=163,https://javdb521.com/tags?c2=163,其他學生,Other Students,其他学生,
tags?c1=2,https://javdb521.com/tags?c1=2,其他戀物癖,Other Fetish,其他恋物癖,
tags?c7=284,https://javdb521.com/tags?c7=284,冒險,Adventure,冒险,
tags?c6=21,https://javdb521.com/tags?c6=21,凌辱,Abuse,凌辱,
tags?c1=51,https://javdb521.com/tags?c1=51,出軌,Affair,出轨,
uncensored?c2=55,https://javdb521.com/tags/uncensored?c2=55,出軌,Adultery,出轨,
tags?c3=58,https://javdb521.com/tags?c3=58,制服,Uniform,制服,
western?c3=86,https://javdb521.com/tags/western?c3=86,制服,Uniform,制服,
tags?c3=4,https://javdb521.com/tags?c3=4,制服外套,Blazer,制服外套,
tags?c1=344,https://javdb521.com/tags?c1=344,刺青紋身,Tattoos,刺青纹身,
tags?c5=340,https://javdb521.com/tags?c5=340,剃毛,Shave,剃毛,
western?c2=22,https://javdb521.com/tags/western?c2=22,前吞後入,Spit Roast,前吞後入,
western?c4=182,https://javdb521.com/tags/western?c4=182,劇院,Theater,劇院,
uncensored?c5=123,https://javdb521.com/tags/uncensored?c5=123,動漫,Anime,動漫,
tags?c3=230,https://javdb521.com/tags?c3=230,動畫人物,Anime Characters,动画人物,
western?c1=94,https://javdb521.com/tags/western?c1=94,勻稱身材,Average Body,勻稱身材,
uncensored?c2=59,https://javdb521.com/tags/uncensored?c2=59,南國度假地,In tropical resort ...,南國度假地,
tags?c7=238,https://javdb521.com/tags?c7=238,原作改編,Original Collaboration,原作改編,
tags?c7=117,https://javdb521.com/tags?c7=117,去背影片,Chroma Key,绿幕片,从JavLibrary得知日文原文'クロマキー'，是指使用绿幕等抠图然后合成的技术，专业术语'色键'不如'绿幕'好理解
tags?c1=305,https://javdb521.com/tags?c1=305,友誼,Friendship,友谊,
tags?c5=72,https://javdb521.com/tags?c5=72,口交,Blow,口交,
uncensored?c2=66,https://javdb521.com/tags/uncensored?c2=66,口交,Blowjob,口交,
western?c2=4,https://javdb521.com/tags/western?c2=4,口交,Blowjob,口交,
uncensored?c2=46,https://javdb521.com/tags/uncensored?c2=46,口塞,Gag (gag),口塞,
western?c2=191,https://javdb521.com/tags/western?c2=191,口塞器,Ball Gag,口塞器,
uncensored?c2=143,https://javdb521.com/tags/uncensored?c2=143,口爆,Cum Eating,口爆,
uncensored?c2=49,https://javdb521.com/tags/uncensored?c2=49,口爆/吞精,Cum Eating / Cum,口爆/吞精,
tags?c6=357,https://javdb521.com/tags?c6=357,口球,Mouth Gag,口球,
tags?c2=47,https://javdb521.com/tags?c2=47,各種職業,Various Professions,各种职业,
western?c3=59,https://javdb521.com/tags/western?c3=59,吊帶,Suspenders,吊帶,
western?c3=134,https://javdb521.com/tags/western?c3=134,吊襪腰帶,Garter Belt,吊襪腰帶,
tags?c5=81,https://javdb521.com/tags?c5=81,吞精,Cum,吞精,
western?c2=120,https://javdb521.com/tags/western?c2=120,吞精,Swallow,吞精,
uncensored?c3=69,https://javdb521.com/tags/uncensored?c3=69,和服,Kimono,和服,
tags?c3=95,https://javdb521.com/tags?c3=95,和服，喪服,"Kimono, Mourning",和服?丧服,
tags?c6=350,https://javdb521.com/tags?c6=350,唾液敷面,Saliva face licking,唾液敷面,
uncensored?c3=290,https://javdb521.com/tags/uncensored?c3=290,單純,Beginner (novice),單純,
tags?c7=28,https://javdb521.com/tags?c7=28,單體作品,Solowork,單體作品,
western?c5=141,https://javdb521.com/tags/western?c5=141,囚犯,Prisoner,囚犯,
tags?c7=9,https://javdb521.com/tags?c7=9,國外進口,Oversea Import,国外进口,
western?c4=181,https://javdb521.com/tags/western?c4=181,圖書館,Library,圖書館,
uncensored?c2=60,https://javdb521.com/tags/uncensored?c2=60,在他人面前,In front of the others,在他人面前,
tags?c5=24,https://javdb521.com/tags?c5=24,多P,"3p, 4p",多P,
tags?c4=388,https://javdb521.com/tags?c4=388,多毛,Hairy,多毛,
western?c2=45,https://javdb521.com/tags/western?c2=45,多男對一女,Gangbang,多男對一女,
tags?c2=105,https://javdb521.com/tags?c2=105,大小姐,Miss,大小姐,
tags?c4=131,https://javdb521.com/tags?c4=131,大屁股,Huge Butt,巨尻,
western?c1=37,https://javdb521.com/tags/western?c1=37,大屁股,Big ass,大屁股,
western?c1=198,https://javdb521.com/tags/western?c1=198,大號美女,BBW,大號美女,
western?c1=50,https://javdb521.com/tags/western?c1=50,大陰莖,Big Cock,大陰莖,
tags?c1=323,https://javdb521.com/tags?c1=323,天賦,Talent,,仅有一部影片，而且很难从字面理解
uncensored?c3=79,https://javdb521.com/tags/uncensored?c3=79,太太,Madame,太太,
western?c3=153,https://javdb521.com/tags/western?c3=153,太陽鏡,Sun Glasses,太陽鏡,
tags?c6=369,https://javdb521.com/tags?c6=369,夫妻交換,Couple exchange,夫妻交換,
tags?c1=244,https://javdb521.com/tags?c1=244,奇異的,Bizarre,猎奇,
western?c0=82,https://javdb521.com/tags/western?c0=82,奇聞趣事,Gonzo,奇聞趣事,
uncensored?c2=35,https://javdb521.com/tags/uncensored?c2=35,奧斯曼株式會社,"Pussy Development Co., Ltd.",奧斯曼株式會社,
tags?c5=37,https://javdb521.com/tags?c5=37,女上位,Cowgirl,女上位,
tags?c2=153,https://javdb521.com/tags?c2=153,女主播,Anchorwoman,女主播,
uncensored?c4=110,https://javdb521.com/tags/uncensored?c4=110,女主角,Heroine,女主角,
tags?c3=113,https://javdb521.com/tags?c3=113,女傭,Maid,女佣,
uncensored?c4=100,https://javdb521.com/tags/uncensored?c4=100,女傭,Maid,女佣,
western?c5=137,https://javdb521.com/tags/western?c5=137,女傭,Maid,女佣,
tags?c6=90,https://javdb521.com/tags?c6=90,女優按摩棒,Electric Massager,女优按摩棒,
tags?c2=245,https://javdb521.com/tags?c2=245,女兒,Daughter,女儿,
western?c5=486,https://javdb521.com/tags/western?c5=486,女友,Girlfriend,女友,
tags?c1=64,https://javdb521.com/tags?c1=64,女同性戀,Lesbian,女同性恋,
uncensored?c2=12,https://javdb521.com/tags/uncensored?c2=12,女同性戀,lesbian,女同性恋,
western?c0=57,https://javdb521.com/tags/western?c0=57,女同性戀,Lesbian,女同性恋,
tags?c1=132,https://javdb521.com/tags?c1=132,女同接吻,Lesbian Kiss,女同接吻,
western?c5=157,https://javdb521.com/tags/western?c5=157,女商人,Business Woman,女商人,
tags?c2=30,https://javdb521.com/tags?c2=30,女大學生,College Students,女大学生,
uncensored?c3=150,https://javdb521.com/tags/uncensored?c3=150,女大學生,College student girl,女大学生,
uncensored?c4=144,https://javdb521.com/tags/uncensored?c4=144,女子高生製服,Schoolgirl uniforms,女子高生製服,
uncensored?c3=147,https://javdb521.com/tags/uncensored?c3=147,女學生,Schoolgirl,女學生,
western?c5=143,https://javdb521.com/tags/western?c5=143,女學生,School Girl,女學生,
tags?c3=96,https://javdb521.com/tags?c3=96,女忍者,Female Ninja,女忍者,
tags?c3=151,https://javdb521.com/tags?c3=151,女戰士,Female Warrior,女战士,
western?c5=144,https://javdb521.com/tags/western?c5=144,女戰士,Soldier Girl,女战士,
western?c5=123,https://javdb521.com/tags/western?c5=123,女抖S,Dominatrix,女抖S,
tags?c2=158,https://javdb521.com/tags?c2=158,女教師,Female Teacher,女教师,
uncensored?c4=112,https://javdb521.com/tags/uncensored?c4=112,女教師,Female teacher,女教师,
western?c5=147,https://javdb521.com/tags/western?c5=147,女服務員,Waitress,女服務員,
tags?c2=201,https://javdb521.com/tags?c2=201,女檢察官,Female Investigator,女检察官,
tags?c2=384,https://javdb521.com/tags?c2=384,女王,Queen,女王,
western?c5=487,https://javdb521.com/tags/western?c5=487,女神,Goddess,女神,
tags?c3=223,https://javdb521.com/tags?c3=223,女祭司,Priestess,女祭司,
western?c5=135,https://javdb521.com/tags/western?c5=135,女童子軍,Girl Scout,女童子軍,
tags?c3=192,https://javdb521.com/tags?c3=192,女裝人妖,Cross Dressing,女装人妖,
tags?c2=142,https://javdb521.com/tags?c2=142,女醫生,Female Doctor,女医生,
uncensored?c4=103,https://javdb521.com/tags/uncensored?c4=103,女醫生,Woman doctor,女医生,
uncensored?c2=36,https://javdb521.com/tags/uncensored?c2=36,女體料理,Lady body cuisine,女體料理,
tags?c1=149,https://javdb521.com/tags?c1=149,奴隸,Slave,奴隶,
tags?c1=34,https://javdb521.com/tags?c1=34,妄想,Delusion,妄想,
uncensored?c2=293,https://javdb521.com/tags/uncensored?c2=293,妊娠,Pregnancy,妊娠,
tags?c2=70,https://javdb521.com/tags?c2=70,妓女,Prostitutes,妓女,
tags?c2=139,https://javdb521.com/tags?c2=139,妹妹,Sister,妹妹,
western?c5=127,https://javdb521.com/tags/western?c5=127,妻子,Wife,妻子,
tags?c2=44,https://javdb521.com/tags?c2=44,姐姐,Older Sister,姐姐,
uncensored?c3=148,https://javdb521.com/tags/uncensored?c3=148,姐姐,Sister,姐姐,
tags?c3=181,https://javdb521.com/tags?c3=181,娃娃,Doll,娃娃,
tags?c2=16,https://javdb521.com/tags?c2=16,婆婆,Stepmother,婆婆,
western?c0=106,https://javdb521.com/tags/western?c0=106,婚禮,Wedding,婚禮,
uncensored?c4=101,https://javdb521.com/tags/uncensored?c4=101,婚紗禮服,Wedding dress,婚紗禮服,
western?c5=114,https://javdb521.com/tags/western?c5=114,媽媽,Mom,媽媽,
tags?c2=377,https://javdb521.com/tags?c2=377,媽媽的朋友,Moms friend,媽媽的朋友,
tags?c6=232,https://javdb521.com/tags?c6=232,子宮頸,Cervix,子宫颈,
tags?c4=92,https://javdb521.com/tags?c4=92,孕婦,Pregnant Woman,孕妇,
western?c4=85,https://javdb521.com/tags/western?c4=85,學校,School,學校,
tags?c1=33,https://javdb521.com/tags?c1=33,學校作品,School Stuff,学校作品,
tags?c3=126,https://javdb521.com/tags?c3=126,學校泳裝,School Swimsuit,学校泳装,
uncensored?c4=145,https://javdb521.com/tags/uncensored?c4=145,學校泳裝,School swimsuit,学校泳装,
western?c4=282,https://javdb521.com/tags/western?c4=282,客廳,Living Room,客廳,
western?c4=159,https://javdb521.com/tags/western?c4=159,室內,Indoors,室內,
uncensored?c4=114,https://javdb521.com/tags/uncensored?c4=114,家庭教師,Governess,家庭教師,
tags?c2=136,https://javdb521.com/tags?c2=136,家教,Tutor,家教,
tags?c2=140,https://javdb521.com/tags?c2=140,寡婦,Widow,寡妇,
uncensored?c5=127,https://javdb521.com/tags/uncensored?c5=127,寫真,Photo gallery,寫真,
tags?c7=194,https://javdb521.com/tags?c7=194,寫真偶像,Gravure,写真偶像,
western?c2=15,https://javdb521.com/tags/western?c2=15,射精,Cumshot,射精,
western?c4=190,https://javdb521.com/tags/western?c4=190,尋歡洞,Glory Hole,尋歡洞,
tags?c6=315,https://javdb521.com/tags?c6=315,導尿,Urethral Cathing,导尿,
western?c2=116,https://javdb521.com/tags/western?c2=116,小便,Piss,小便,
western?c1=65,https://javdb521.com/tags/western?c1=65,小個子美女,Petite,小個子美女,
western?c1=97,https://javdb521.com/tags/western?c1=97,小屁股,Small Ass,小屁股,
western?c5=69,https://javdb521.com/tags/western?c5=69,少女,Teen,少女,
uncensored?c2=146,https://javdb521.com/tags/uncensored?c2=146,尿失禁,Pissing incontinence,尿失禁,
tags?c7=168,https://javdb521.com/tags?c7=168,局部特寫,Close Up,局部特写,
tags?c2=188,https://javdb521.com/tags?c2=188,展場女孩,Booth Girl,展场女孩,
uncensored?c2=34,https://javdb521.com/tags/uncensored?c2=34,左右口交,Double Blow,左右口交,
tags?c4=17,https://javdb521.com/tags?c4=17,巨乳,Big Tits,巨乳,
western?c1=13,https://javdb521.com/tags/western?c1=13,巨乳,Big tits,巨乳,
uncensored?c3=68,https://javdb521.com/tags/uncensored?c3=68,巨乳爆乳,Big Tits,巨乳爆乳,
tags?c4=98,https://javdb521.com/tags?c4=98,巨大陰莖,Big cock,巨根,
tags?c2=20,https://javdb521.com/tags?c2=20,已婚婦女,Married Woman,已婚妇女,
western?c3=154,https://javdb521.com/tags/western?c3=154,帽子,Cap,帽子,
western?c6=161,https://javdb521.com/tags/western?c6=161,幕後花絮,Behind The Scenes,幕後花絮,
